Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-REG-00212,Veeva,Regulatory,Labels,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Data Migration,Approve Pharma Veeva Labels,User has Veeva access and Pharma data is available,"1. Open Labels.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00213,Veeva,Regulatory,Labels,Pharma,Author -> Review -> Sign -> Distribute -> Track,Accessibility,Edit Pharma Veeva Labels,User has Veeva access and Pharma data is available,"1. Open Labels.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00214,Veeva,Regulatory,Labels,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Reject Pharma Veeva Labels,User has Veeva access and Pharma data is available,"1. Open Labels.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00215,Veeva,Regulatory,Labels,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Data Migration,Archive Pharma Veeva Labels,User has Veeva access and Pharma data is available,"1. Open Labels.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00216,Veeva,Regulatory,Labels,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Workflow,Archive Biotech Veeva Labels,User has Veeva access and Biotech data is available,"1. Open Labels.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00217,Veeva,Regulatory,Labels,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Integration,Approve Biotech Veeva Labels,User has Veeva access and Biotech data is available,"1. Open Labels.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00218,Veeva,Regulatory,Labels,Biotech,Author -> Review -> Sign -> Distribute -> Track,UI,Archive Biotech Veeva Labels,User has Veeva access and Biotech data is available,"1. Open Labels.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00219,Veeva,Regulatory,Labels,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Performance,Reject Biotech Veeva Labels,User has Veeva access and Biotech data is available,"1. Open Labels.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00220,Veeva,Regulatory,Labels,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Data Migration,Restore Biotech Veeva Labels,User has Veeva access and Biotech data is available,"1. Open Labels.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00221,Veeva,Regulatory,Labels,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Security,Restore Medical Devices Veeva Labels,User has Veeva access and Medical Devices data is available,"1. Open Labels.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00222,Veeva,Regulatory,Labels,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Security,Archive Medical Devices Veeva Labels,User has Veeva access and Medical Devices data is available,"1. Open Labels.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00223,Veeva,Regulatory,Labels,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,Security,Search Medical Devices Veeva Labels,User has Veeva access and Medical Devices data is available,"1. Open Labels.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00224,Veeva,Regulatory,Labels,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Search Medical Devices Veeva Labels,User has Veeva access and Medical Devices data is available,"1. Open Labels.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00225,Veeva,Regulatory,Labels,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Security,Approve Medical Devices Veeva Labels,User has Veeva access and Medical Devices data is available,"1. Open Labels.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00226,Veeva,Regulatory,Labels,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,UI,Restore Consumer Health Veeva Labels,User has Veeva access and Consumer Health data is available,"1. Open Labels.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00227,Veeva,Regulatory,Labels,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Security,Archive Consumer Health Veeva Labels,User has Veeva access and Consumer Health data is available,"1. Open Labels.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00228,Veeva,Regulatory,Labels,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Integration,Validate Consumer Health Veeva Labels,User has Veeva access and Consumer Health data is available,"1. Open Labels.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00229,Veeva,Regulatory,Labels,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Performance,Delete Consumer Health Veeva Labels,User has Veeva access and Consumer Health data is available,"1. Open Labels.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00230,Veeva,Regulatory,Labels,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,UI,Search Consumer Health Veeva Labels,User has Veeva access and Consumer Health data is available,"1. Open Labels.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00231,Veeva,Regulatory,Labels,CRO,Setup -> Review -> Approve -> Publish -> Archive,Performance,Update CRO Veeva Labels,User has Veeva access and CRO data is available,"1. Open Labels.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00232,Veeva,Regulatory,Labels,CRO,Create -> Submit -> Approve -> Release -> Monitor,Integration,Delete CRO Veeva Labels,User has Veeva access and CRO data is available,"1. Open Labels.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00233,Veeva,Regulatory,Labels,CRO,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Clone CRO Veeva Labels,User has Veeva access and CRO data is available,"1. Open Labels.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00234,Veeva,Regulatory,Labels,CRO,Plan -> Execute -> Verify -> Close -> Audit,Integration,Restore CRO Veeva Labels,User has Veeva access and CRO data is available,"1. Open Labels.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00235,Veeva,Regulatory,Labels,CRO,Content -> Approval -> HCP Delivery -> Analytics,Security,Create CRO Veeva Labels,User has Veeva access and CRO data is available,"1. Open Labels.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00236,Veeva,Regulatory,Labels,Manufacturing,Setup -> Review -> Approve -> Publish -> Archive,UI,Submit Manufacturing Veeva Labels,User has Veeva access and Manufacturing data is available,"1. Open Labels.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00237,Veeva,Regulatory,Labels,Manufacturing,Create -> Submit -> Approve -> Release -> Monitor,Accessibility,Delete Manufacturing Veeva Labels,User has Veeva access and Manufacturing data is available,"1. Open Labels.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00238,Veeva,Regulatory,Labels,Manufacturing,Author -> Review -> Sign -> Distribute -> Track,Workflow,Archive Manufacturing Veeva Labels,User has Veeva access and Manufacturing data is available,"1. Open Labels.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00239,Veeva,Regulatory,Labels,Manufacturing,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Route Manufacturing Veeva Labels,User has Veeva access and Manufacturing data is available,"1. Open Labels.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00240,Veeva,Regulatory,Labels,Manufacturing,Content -> Approval -> HCP Delivery -> Analytics,Performance,Route Manufacturing Veeva Labels,User has Veeva access and Manufacturing data is available,"1. Open Labels.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00241,Veeva,Regulatory,Publishing,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Integration,Search Pharma Veeva Publishing,User has Veeva access and Pharma data is available,"1. Open Publishing.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00242,Veeva,Regulatory,Publishing,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Workflow,Validate Pharma Veeva Publishing,User has Veeva access and Pharma data is available,"1. Open Publishing.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00243,Veeva,Regulatory,Publishing,Pharma,Author -> Review -> Sign -> Distribute -> Track,Performance,Approve Pharma Veeva Publishing,User has Veeva access and Pharma data is available,"1. Open Publishing.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00244,Veeva,Regulatory,Publishing,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Delete Pharma Veeva Publishing,User has Veeva access and Pharma data is available,"1. Open Publishing.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00245,Veeva,Regulatory,Publishing,Pharma,Content -> Approval -> HCP Delivery -> Analytics,UI,Validate Pharma Veeva Publishing,User has Veeva access and Pharma data is available,"1. Open Publishing.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00246,Veeva,Regulatory,Publishing,Biotech,Setup -> Review -> Approve -> Publish -> Archive,UI,Update Biotech Veeva Publishing,User has Veeva access and Biotech data is available,"1. Open Publishing.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00247,Veeva,Regulatory,Publishing,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Regression,Reject Biotech Veeva Publishing,User has Veeva access and Biotech data is available,"1. Open Publishing.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00248,Veeva,Regulatory,Publishing,Biotech,Author -> Review -> Sign -> Distribute -> Track,UI,Escalate Biotech Veeva Publishing,User has Veeva access and Biotech data is available,"1. Open Publishing.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00249,Veeva,Regulatory,Publishing,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Edit Biotech Veeva Publishing,User has Veeva access and Biotech data is available,"1. Open Publishing.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00250,Veeva,Regulatory,Publishing,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Regression,Escalate Biotech Veeva Publishing,User has Veeva access and Biotech data is available,"1. Open Publishing.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00251,Veeva,Regulatory,Publishing,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Functional,Route Medical Devices Veeva Publishing,User has Veeva access and Medical Devices data is available,"1. Open Publishing.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00252,Veeva,Regulatory,Publishing,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Functional,Edit Medical Devices Veeva Publishing,User has Veeva access and Medical Devices data is available,"1. Open Publishing.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00253,Veeva,Regulatory,Publishing,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,UI,Delete Medical Devices Veeva Publishing,User has Veeva access and Medical Devices data is available,"1. Open Publishing.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00254,Veeva,Regulatory,Publishing,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Performance,Approve Medical Devices Veeva Publishing,User has Veeva access and Medical Devices data is available,"1. Open Publishing.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00255,Veeva,Regulatory,Publishing,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Functional,Restore Medical Devices Veeva Publishing,User has Veeva access and Medical Devices data is available,"1. Open Publishing.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00256,Veeva,Regulatory,Publishing,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,Integration,Validate Consumer Health Veeva Publishing,User has Veeva access and Consumer Health data is available,"1. Open Publishing.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00257,Veeva,Regulatory,Publishing,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Data Migration,Submit Consumer Health Veeva Publishing,User has Veeva access and Consumer Health data is available,"1. Open Publishing.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00258,Veeva,Regulatory,Publishing,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Approve Consumer Health Veeva Publishing,User has Veeva access and Consumer Health data is available,"1. Open Publishing.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00259,Veeva,Regulatory,Publishing,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Validate Consumer Health Veeva Publishing,User has Veeva access and Consumer Health data is available,"1. Open Publishing.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00260,Veeva,Regulatory,Publishing,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,Security,Approve Consumer Health Veeva Publishing,User has Veeva access and Consumer Health data is available,"1. Open Publishing.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00261,Veeva,Regulatory,Publishing,CRO,Setup -> Review -> Approve -> Publish -> Archive,Workflow,Reject CRO Veeva Publishing,User has Veeva access and CRO data is available,"1. Open Publishing.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00262,Veeva,Regulatory,Publishing,CRO,Create -> Submit -> Approve -> Release -> Monitor,Workflow,Clone CRO Veeva Publishing,User has Veeva access and CRO data is available,"1. Open Publishing.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00263,Veeva,Regulatory,Publishing,CRO,Author -> Review -> Sign -> Distribute -> Track,Accessibility,Approve CRO Veeva Publishing,User has Veeva access and CRO data is available,"1. Open Publishing.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00264,Veeva,Regulatory,Publishing,CRO,Plan -> Execute -> Verify -> Close -> Audit,Performance,Update CRO Veeva Publishing,User has Veeva access and CRO data is available,"1. Open Publishing.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00265,Veeva,Regulatory,Publishing,CRO,Content -> Approval -> HCP Delivery -> Analytics,Integration,Approve CRO Veeva Publishing,User has Veeva access and CRO data is available,"1. Open Publishing.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00266,Veeva,Regulatory,Publishing,Manufacturing,Setup -> Review -> Approve -> Publish -> Archive,Functional,Search Manufacturing Veeva Publishing,User has Veeva access and Manufacturing data is available,"1. Open Publishing.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-REG-00267,Veeva,Regulatory,Publishing,Manufacturing,Create -> Submit -> Approve -> Release -> Monitor,Accessibility,Edit Manufacturing Veeva Publishing,User has Veeva access and Manufacturing data is available,"1. Open Publishing.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
